datasetKey,datasetTitle
1e0353fa-78d9-4799-998a-74685255e04e,Longhorn beetle (Cerambycidae) data from iRecord
8359171b-9432-421e-88fc-56a55f1c098c,Invertebrate Site Register - England 1738-2005
e2413993-3e6c-4519-abe5-02b75cb645c6,Invertebrate Common Standards Monitoring and ISIS Test Data
98af357b-541e-4f16-b35c-8ca68767be99,River macroinvertebrate data for 2005 and 2006
7d564ea2-6a0d-4312-a321-724f1ab8a5b2,Butterflies of Northern Ireland
7d17a2b2-8751-41b5-ac9b-48effc1ea236,BRERC species records from all years at full resolution excluding Notable Species within the last 10 years
7f8fd849-af78-4eb4-b764-5b11346aa193,"Record species dataset covering Cheshire, Halton, Warrington & Wirral"
17ea10b4-1ef2-42ba-9cb1-b38937dd15b9,RHS lily beetle (Lilioceris lilii) monitoring
8b935540-2b2e-47f5-b722-2a80445e45c7,KiEco Freshwater Ecology: Lake Macroinvertebrates
8a863029-f435-446a-821e-275f4f641165,"Observation.org, Nature data from around the World"
cb7c2913-e387-4fbe-9e57-a2f24ed3d88c,RHS rosemary beetle (Chrysolina americana) monitoring
867b3fb8-f762-11e1-a439-00145eb45e9a,European Moth Nights
43fa788e-a1ac-46bd-ab45-cd39db08d754,Dragonfly Ireland 2019 to 2024
84f58d09-add5-469b-af6e-f3522a8dac7d,CEDaR Online Recording
14652c82-e5d1-4c3e-bd3b-0f28e0315e08,Silphidae Recording Scheme - data verified via iRecord
0ff1dbf3-7e14-41ec-9394-3c5813fee491,Sciomyzidae Recording Scheme
ecd18a44-b841-4bfa-8b9d-b7e118640616,Oil Beetle Recording Scheme - records verified via iRecord
abbab93b-ab81-47f4-b825-85bbbc210e94,Woodmeadow Invertebrate Survey 2017
83cff6ec-743a-4dee-92de-71a3f0dd3d14,Other beetle records from National Stag Beetle Surveys 2006-2021
5a1b62b2-4a1f-4404-b481-87836564d4a5,Miscellaneous records held by BIS
68ad7ec2-0f89-4d32-9ad2-650c88899eb8,Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups
0284b82d-cdd1-4d67-83bd-c8e42e988adb,Merseyside BioBank (unverified)
c665b271-454b-4844-a039-426dac634908,Leicestershire and Rutland Environmental Records Centre records 2015-2019
fd7cda6d-0bdb-44ed-9319-010c286d4633,Leicestershire and Rutland Environmental Records Centre records 2010-2014
3c2fb76f-ed3f-40dc-bb40-21adbbd857d5,Isle of Wight Notable Species
05d6ca91-1c63-429e-8801-3b59e2de2707,Environment Agency England and Wales (2007) freshwater invertebrate species (single species families)
b650365b-6ff5-403b-916a-f1c4a176bb45,Sawfly (Symphyta) records from iRecord
da5f7bf0-c72a-4087-b116-885fbdd10c03,Bob Merritt invertebrate records for VCs 72-75
aa8fe1e4-10ec-4fb1-a520-c062b91cb788,"SEWBReC Bees, Wasps and Ants (South East Wales)"
